region,out_degree,in_degree
AMBv,55,56
DMX,63,60
GRN,61,87
ICB,49,27
IO,53,57
IRN,65,67
ISN,66,53
LIN,57,67
LRN,54,48
LRNm,54,47
LRNp,57,25
MARN,63,103
MDRN,53,71
MDRNd,53,70
MDRNv,52,72
PARN,65,78
PAS,64,71
PGRN,65,76
PGRNd,59,75
PGRNl,61,67
PHY,62,77
NR,52,70
PRP,52,62
PPY,62,50
VNC,66,47
LAV,65,44
MV,73,48
SPIV,65,51
SUV,61,40
x,65,52
XII,52,59
y,59,39
MY-sat,58,119
RM,61,108
RPA,54,142
RO,53,74
CB,19,30
CBX,18,25
VERM,22,20
LING,35,17
CENT,17,15
CENT2,11,12
CENT3,19,14
CUL,15,20
"CUL4, 5",15,20
DEC,10,4
FOTU,7,14
PYR,7,18
UVU,22,9
NOD,46,9
HEM,15,19
SIM,12,17
AN,12,19
ANcr1,13,19
ANcr2,10,14
PRM,10,7
COPY,23,9
PFL,11,12
FL,17,12
CBN,46,34
FN,42,30
IP,36,30
DN,33,26
VeCB,48,34
